"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__forwarded_from","messages__text__type","messages__text__text","messages__text__href","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__edited","messages__photo"
"","","","81","message","2020-08-20T11:21:46","Светлана Тихановская","9927689195","","","","","","","1280","853","","bold","Светлана Тихановская:\n","","","","","","","","2020-08-20T13:32:19","(File not included. Change data exporting settings to download.)"
"","","","","","","","","\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","«Сегодня, 20 августа я разговаривала с министром иностранных дел Эстонии Урмасом Рейнсалу.  Учитывая поступающие угрозы в адрес членов Координационного Совета, я обратилась к нему с просьбой поднять этот вопрос перед Советом Безопасности ООН. Международное общество обязано уважать права белорусского народа и защищать тех, кто нуждается в защите, от возможных угроз и незаконного преследования.»","","","","","","","","",""
"","","","83","message","2020-08-21T05:19:05","Светлана Тихановская","9927689195","Пресс-конференция Светланы Тихановской 21.08.2020\n","","","","","","","","Страна Для Жизни","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","link","https://youtu.be/nSCxO5MTW24","","","","","","","","",""
"","","","84","message","2020-08-21T06:26:36","Светлана Тихановская","9927689195","Кофе-пауза после первой пресс-конференции в Вильнюсе. ☕️","","","","","","960","1280","","","","","","","","","","","","(File not included. Change data exporting settings to download.)"
"","","","85","message","2020-08-21T13:04:36","Светлана Тихановская","9927689195","Марш новой Беларуси!","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","69","1080","1920","Страна Для Жизни","","","","","","","","","","",""
"","","","86","message","2020-08-24T09:15:08","Светлана Тихановская","9927689195","24 августа Светлана Тихановская встретилась с заместителем госсекретаря США Stephen Biegun.\n\nТихановская и Stephen Biegun обсудили политический кризис в Беларуси, и она выразила благодарность Соединенным Штатам за их поддержку мирных демонстрантов в Беларуси.\n\n«Выборы 9 августа не были ни свободными, ни справедливыми. Лукашенко не пользуется поддержкой беларусского народа или международного сообщества. Каждый день он отказывается принять волю своего народа, лишь продлевая кризис и усугубляя его» - сказала Светлана Тихановская.\n\nСветлана Тихановская также выразила готовность к разрешению кризиса путем диалога.\n\n«Мы всегда говорили, что готовы говорить и стремимся к мирному урегулированию. Мы открыты для посредничества международных организаций в целях содействия диалогу. Мы также требуем беспристрастного расследования преступлений, совершенных белорусскими властями против своего народа. . "" - сказала Тихановская. «В то же время мы призываем все страны уважать суверенитет и территориальную целостность Беларуси».\n\nВстреча состоялась в Вильнюсе, Литва, куда Тихановская бежала после жестокого подавления протеста властями Беларуси. По меньшей мере шесть человек погибли, сотни ранены. Десятки людей по-прежнему числятся пропавшими без вести после выборов.\n","","","","","","","","","","","","","","","","","","2020-08-24T09:22:38",""
"","","","","","","","","","","","","","","","","","link","https://t.me/pulpervoi/88","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#sveylanatihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","87","message","2020-08-24T09:22:10","Светлана Тихановская","9927689195","Встреча Светланы Тихановской с заместителем госсекретаря США Stephen Biegun.\n","","","","","","1280","720","","","","","","","","","","","","(File not included. Change data exporting settings to download.)"
"","","","","","","","","","","","","","","","","","link","https://t.me/pulpervoi/86","","","","","","","","",""
"","","","88","message","2020-08-24T09:22:11","Светлана Тихановская","9927689195","","","","","","","1280","720","","","","","","","","","","","","(File not included. Change data exporting settings to download.)"
"","","","89","message","2020-08-25T09:34:32","Светлана Тихановская","9927689195","Рабочий звонок перед выходом в эфир Fox News TV\n\n","","","","","","1280","960","","","","","","","","","","","2020-08-25T11:29:40","(File not included. Change data exporting settings to download.)"
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#sveylanatihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","90","message","2020-08-25T14:57:30","Светлана Тихановская","9927689195","","","","","","","","","","bold","Обращение от Светланы Тихановской и ее штаба.","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","Задержание членов Координационного Совета - признак отсутствия государственного мышления.","","","","","","","","",""
"","","","","","","","","..\n \nСегодня были арестованы на 10 суток задержанные накануне члены Президиума Координационного совета Ольга Ковалькова и Сергей Дылевский. Ольга Ковалькова – доверенное лицо Светланы Тихановской, Сергей Дылевский руководитель стачкома Минского тракторного завода.\n \nНи для кого не секрет, что Беларусь переживает острый политический кризис. Его причина – фальсификация выборов. Если бы голоса избирателей были подсчитаны честно, не было бы никакого недовольства людей. Беларусов возмутило то, что после нечестных выборов победителем был объявлен бывший президент Александр Лукашенко, которому народ отказал в доверии и поддержке. Лукашенко уже не сможет управлять страной, так как люди требуют, чтобы он ушел. Его больше не уважают, над ним смеются, а он цепляется за власть.\n \nКоординационный совет выступает за урегулирование политического кризиса в Беларуси путем переговоров и проведение новых честных выборов. Но вместо поиска диалога администрация уходящего президента занимается мелочными обвинениями и преследованиями. Это свидетельствует об отсутствии у чиновников и судей государственного мышления. Надо думать в первую очередь об интересах страны, а не об интересах того, кто должен уйти по требованию народа. Никакие репрессии не будут приняты нашим обществом. Никакие попытки удержания власти не помогут избежать ответственности за репрессии.\n \nКоординационный совет представляет интересы большинства беларусов. И наше стремление к переменам сильнее, чем ваш страх. Я призываю правоохранителей безотлагательно прекратить давление на членов Координационного совета и освободить Ольгу Ковалькову и Сергея Дылевского. Не пробуйте запугать нас и сами не бойтесь идти на открытый диалог с народом, к которому призывает Координационный совет!","","","","","","","","","","","","","","","","","","",""
"","","","91","message","2020-08-26T11:57:16","Светлана Тихановская","9927689195","Интервью Светланы Тихановской газете BILD и таким образом — обращение к народу Германии и Ангеле Меркель\n\n","","","","","","1034","711","","","","","","","","","","","2020-08-26T11:57:27","(File not included. Change data exporting settings to download.)"
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#sveylanatihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","92","message","2020-08-28T03:00:10","Светлана Тихановская","9927689195","Подготовка к записи в самом разгаре...\n\n","","","","","","1184","778","","","","","","","","","","","","(File not included. Change data exporting settings to download.)"
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#sveylanatihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","93","message","2020-08-31T05:11:40","Светлана Тихановская","9927689195","","","","","","","","","","bold","Светлана Тихановская работает для Беларуси на высшем международном уровне","","","","","","","","2020-08-31T06:54:10",""
"","","","","","","","","\n\nС того момента, как за Светлану Тихановскую проголосовало большинство избирателей Беларуси, к Светлане обращаются руководители многих стран мира, высказывают слова поддержки и солидарности с ней и с беларусским народом.\nОна провела 10 бесед лично и по телефону с министрами иностранных дел разных стран от Франции до Канады;\n7 бесед с лидерами (президентами и премьер-министрами) европейских стран от Ирландии до Польши, включая главу правительства Европейского Союза Урсулу фон дер Ляйен;\nПровела много встреч с послами, депутатами Европарламента и депутатами парламентов различных стран.\nСветлана Тихановская выступила в Европейском парламенте (25 августа); уже запланированы ее выступления на заседании Совета Безопасности ООН (4 сентября) и Парламентской Ассамблее Совета Европы (8 сентября).\nНа каждой встрече, в каждом разговоре и в каждом выступлении Светлана говорит о ситуации в Беларуси и о том, чего требует народ: Лукашенко должен уйти, политзаключенные и задержанные должны быть освобождены, в стране должна быть восстановлена Конституция 1994 года, должны быть подготовлены и проведены новые — честные и прозрачные — выборы.\nОбсуждаются и пути выхода из политического кризиса в Беларуси. Светлана Тихановская подчеркивает, что протесты в защиту выбора граждан в Беларуси носят исключительно мирный характер, а наилучший вариант выхода из кризиса — переговоры. Добиться переговоров о передаче власти между представителями власти и народом — это ответственность самих беларусов. Но мы не отказываемся и от международного содействия для их начала.\nЭто не геополитическая революция, это политический кризис внутри страны. Народ Беларуси хочет выбрать нового руководителя страны. И он в праве сделать это сам.\nНа вопрос, какой помощи она и Беларусь ожидает от международного сообщества, Светлана говорит, что мы просим всех уважать суверенитет Беларуси, выступить гарантами суверенитета Беларуси и уважать волю беларусского народа.\nОчень многие страны высказывают свою готовность оказать финансовую поддержку для восстановления и развития экономики Беларуси, содействовать приходу инвестиций и новых технологий, как только в стране произойдут свободные выборы.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#svetlanatihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","94","message","2020-08-31T15:42:27","Светлана Тихановская","9927689195","Политическая встреча с Prof. h. c. Dr. Karl A. Lamers, Member of the German Bundestag since 1994 and Vice-President of the NATO Parliamentary Assembly. \n\n","","","","","","1280","854","","","","","","","","","","","","(File not included. Change data exporting settings to download.)"
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tihanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#svetlanatihanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","95","message","2020-09-01T05:49:03","Светлана Тихановская","9927689195","","","","","","","","","","bold","Наша главная цель – добиться выполнения требований граждан Беларуси и провести новые честные выборы.","","","","","","","","2020-09-01T09:29:19",""
"","","","","","","","","\n\nУважаемые друзья!\n\nПосле выборов 9 августа избиратели начали массовые протесты в защиту своего выбора.\n\nГлавное требование людей – Лукашенко должен уйти со своего поста.\n\nКроме того, протестующие требуют:\n\nосвобождения всех политзаключенных;\n\nпрекращения репрессий и привлечения к ответственности их организаторов и исполнителей;\n\nпроведения новых честных выборов.\n\nСозданный по моей инициативе Координационный совет призван содействовать мирному транзиту власти и проведению переговоров о выходе из политического кризиса путем проведения новых выборов. В Координационный совет вошли авторитетные люди разных профессий, разных политических взглядов. В нем нет и не должно быть доминирования какой-либо политической партии. Членов Координационного совета объединяет главная цель – необходимость вернуть власть народу.\n\nСоздание новых политических партий – позитивный процесс и признак стремления к демократии. Поэтому я позитивно смотрю на инициативу Виктора Бабарико создать свою партию. В свободной демократической стране каждый имеет на это право.\n\nВместе с тем, я услышала в заявлении штаба Виктора Бабарико два утверждения, с которыми категорически не согласна. \n\nВо-первых, я категорически не согласна с утверждением, что на выборах мы не смогли победить. Все знают, что это не так. Мы победили, но нашу победу пробуют украсть. Именно поэтому люди вышли на массовый протест, именно поэтому начались забастовки, именно поэтому протестует все наше общество - от студентов до пенсионеров, от спортсменов до предпринимателей.\n\nВо-вторых, я не согласна, что первая задача, которая стоит перед нами - это конституционная реформа. Такая постановка цели не отвечает требованием беларуского народа, и выглядит двусмысленной, так как сегодня Лукашенко пытается оттянуть свой уход, ведя речь о непонятной Конституционной реформе в неопределенные сроки. Кроме того, намерение подать в ближайшее время документы на регистрацию партии означает готовность подменить тему смены власти готовностью просить у власти санкции на создание партии. Я понимаю, что Виктор Бабарико записал свое обращение до своего ареста, но авторы заявления должны ответственно подходить к принятию политических решений.\n\nНе надо подменять политическую повестку путем перехода к обсуждению Конституционной реформы. Призываю услышать то, что говорит народ. Сначала – требования граждан, потом – реформы, которые возможны только после честных выборов. Думаю, после новых президентских выборов нам стоило бы сохранить единство и создать широкое общественное движение с участием всех заинтересованных партий и граждан. Такое движение помогло бы развитию нашей страны.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","С уважением,\n\nСветлана Тихановская","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tikhanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tikhanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#svetlanatikhanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","96","message","2020-09-01T09:27:39","Светлана Тихановская","9927689195","","","","","","","","","","bold","Служите государству, а не «хозяину»","","","","","","","","2020-09-01T09:32:27",""
"","","","","","","","",", прекратите давление на Координационный совет!\nМы хотим обратиться к государственным служащим, которые думают об интересах государства, в связи с задержанием члена Президиума Координационного совета Лилии Власовой. Лилия Владимировна – известный в стране юрист, специалист по урегулированию конфликтов до суда. Ее участие может быть очень полезным, когда представители власти решатся обсудить выход из политического кризиса путем переговоров. Освободите Лилию Власову и прекратите давление на Координационный совет! Освободите задержанных ранее Ольгу Ковалькову и Сергея Дылевского!\nПричина происходящего в Беларуси – вовсе не Координационный совет, а нежелание человека, проигравшего выборы, признать волю народа и покинуть свой пост. Люди потеряли к нему доверие и уважение, и он не сможет больше управлять страной. Координационный совет создан для того, чтобы стали возможными переговоры о путях выхода из политического кризиса. Давление на Координационный совет не вернет уважения к Лукашенко. И, если исходить из интересов государства, все равно придется начинать переговоры.\nПризываем вас думать об интересах страны, а не об интересах обанкротившегося человека, который считает себя ее «хозяином». Мы можем и должны найти выход из кризиса, чтобы страна пошла вперед.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","Штаб Светланы Тихановской\n","","","","","","","","",""
"","","","","","","","","\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tikhanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#tikhanovskayasvetlana","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#svetlanatikhanovskaya","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановская","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#тихановскаясветлана","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","hashtag","#светланатихановская","","","","","","","","",""
"","","","97","message","2020-09-03T11:36:49","Светлана Тихановская","9927689195","","","","","","","1280","965","","bold","Светлана Тихановская прокомментировала встречи Лукашенко с российским правительством:","","","","","","","","2020-09-03T11:43:57","(File not included. Change data exporting settings to download.)"
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","“Я всегда говорила и повторяю, что суверенитет не может быть предметом переговоров или торга. Я сомневаюсь, что любые решения и договоры, которые могут быть подписаны Лукашенко, будут признаны новым правительством. Причина этого известна: народ отказал Лукашенко в доверии.”","","","","","","","","",""
"","","","99","message","2020-09-04T04:56:04","Светлана Тихановская","9927689195","","","","","","","","","","bold","Светлана Тихановская:","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","«Я выражаю солидарность с членами Координационного Совета».\n\nПосле выборов Беларусь оказалась в состоянии острого политического кризиса. Причина кризиса всем известна – бывший президент отказывается уходить после того, как избиратели отказали ему в доверии и поддержке на выборах.\n\nКоординационный совет был создан, чтобы содействовать выходу из этого кризиса. Наилучшим способом выхода являются переговоры, и Координационный совет будет содействовать началу переговоров, согласованию и формулированию позиции общества на переговорах, а также нахождению наилучших решений для блага страны.\n\nЯ хочу еще раз подчеркнуть, что создание Координационного совета — это важный шаг в правильном направлении. Совет объединяет интересы всех беларусов, которые стремятся к свободе и переменам в стране. Борьба с Координационным советом, давление на его членов – бессмысленное дело, так как Совет – не причина кризиса, а возможность его преодоления.\n\nЧлены президиума Совета — Светлана Алексиевич, Ольга Ковалькова, Сергей Дылевский, Мария Колесникова, Павел Латушко, Лилия Власова, Максим Знак – это люди, которых уважает все наше общество. Любые попытки их преследования бросают тень на силовые структуры и вызывают общественный протест.\n\nЯ солидарна со всеми членами Координационного совета, которые поставили интересы нашей страны выше соображений собственного благополучия и безопасности. Я восхищаюсь их принципиальностью и готовностью идти на риск, чтобы помочь преодолеть политический кризис. Тысячи людей подали заявки в расширенный состав Совета, и я приветствую инициативу каждого из них. Мы делаем общее дело, несмотря на ограничения свободы, на расстояния и репрессии. Мы едины в своем стремлении к цели, мы выстоим, мы победим!","","","","","","","","",""
"","","","100","message","2020-09-04T11:29:49","Светлана Тихановская","9927689195","","(File not included. Change data exporting settings to download.)","","video_file","video/mp4","324","640","360","","bold","Избранный президент Светлана Тихановская выступила с докладом на заседании Совета Безопасности ООН.\n\n ","","","","","","","","",""
"","","","","","","","","Встреча была инициирована Эстонией и организована членами Совета Безопасности из США и Великобритании, а также Канады, Дании, Исландии, Латвии, Литвы, Польши, Румынии и Украины. \n\nСветлана Тихановская призвала ООН\n","","","","","","","","","","","","","","","","","","",""
