"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__edited","messages__reply_to_message_id","messages__text__type","messages__text__text","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__text__href","messages__sticker_emoji","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"Чай з малинавым варэннем","public_channel","9658888691","9623","message","2020-08-09T01:20:37","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","640","480","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9624","message","2020-08-09T02:43:15","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","1036","644","В Беларуси начались проблемы с интернетом. Сильно тупят YouTube и Telegram, новостные сайты, VPN работает с перебоями.","","","","","","","","","","","","","","","","","","","","","",""
"","","","9625","message","2020-08-09T02:47:36","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","1280","470","Явка на досрочное голосование по заявлению ЦИК. Почти 42% избирателей проголосовали, в Могилёвской и Гомельской областях вообще по 50%.\n\nКакая жесть","2020-08-09T02:50:21","","","","","","","","","","","","","","","","","","","","",""
"","","","9626","message","2020-08-09T03:03:45","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","650","433","На въездах в Минск появились военные джипы. Выборочно проверяют проезжающие машины","","","","","","","","","","","","","","","","","","","","","",""
"","","","9627","message","2020-08-09T03:03:45","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9628","message","2020-08-09T03:20:55","Чай з малинавым варэннем","9658888691","","","","Котаны, когда пойдёте голосовать проверяйте, чтобы вам выдали чистый бюллетень без пометок в клетках. Если пометки есть, такой бюллетень признают недействительным","","","","","","","","","","","","","","","","","","","","","",""
"","","","9629","message","2020-08-09T03:23:27","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","1013","700","Опять кругомураги виноваты!","","","","","","","","","","","","","","","","","","","","","",""
"","","","9630","message","2020-08-09T03:28:42","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","720","1280","Например","","9628","","","","","","","","","","","","","","","","","","","",""
"","","","9631","message","2020-08-09T04:01:53","Чай з малинавым варэннем","9658888691","","","","Если у вас начал хреново работать Telegram, используйте прокси из списка ","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","t.me/ProxyMTProto","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",". Возможно придётся попробовать несколько разных","","","","","","","","","","","","","","","","","","","","","",""
"","","","9632","message","2020-08-09T04:07:25","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","500","382","Для повышения прозрачности и честности выборов задержаны 8 человек из штаба Тихановской. Сама Светлана ещё вчера уехала из квартиры, чтобы её тоже не задержали","","","","","","","","","","","","","","","","","","","","","",""
"","","","9633","message","2020-08-09T04:17:31","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","530","354","Ермошина заявила, что в Гомельской и Могилевской областях выборы состоялись, проголосовали более 50% избирателей","","","","","","","","","","","","","","","","","","","","","",""
"","","","9634","message","2020-08-09T04:23:06","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","1200","864","Ермошина: на участках введут пропускной режим, если людей будет слишком много","","","","","","","","","","","","","","","","","","","","","",""
"","","","9635","message","2020-08-09T04:53:52","Чай з малинавым варэннем","9658888691","","","","Тайное голосование — это право, а не обязанность. Вы имеете право голосовать открыто и не заходить в кабинку для голосования, чтобы не создавать очереди. Но, если что, на конфликт не идите","","","","","","","","","","","","","","","","","","","","","",""
"","","","9636","message","2020-08-09T04:59:53","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","960","1280","По данным независимых наблюдателей явку на досрочном голосовании завысили аж в 5 раз","","","","","","","","","","","","","","","","","","","","","",""
"","","","9637","message","2020-08-09T05:16:50","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","602","338","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9638","message","2020-08-09T05:31:36","Чай з малинавым варэннем","9658888691","","","","Что важно проверить/сделать на избирательном участке:\n\n- Поставьте дату (если разрешат) и подпись в журнале своей рукой (об этом не предупреждают, некоторым уже дорисовали дату якобы проголосовали досрочно)\n\n- Проверьте оборот бюллетеня, там должно быть 2 подписи (у некоторых была 1)\n\n- Проверьте нет ли пометок в клетках на лицевой стороне бюллетеня. Желательно чтобы их не было на всем бюллетене (пометка в клетке сделает его недействительным, для каких-то целей некоторые бюллетени помечают точками)\n\n- Если хотите можете сфотографировать бюллетень, это не запрещено, и сложить гармошкой (чтобы когда их будут считать, это было видно)","2020-08-09T06:40:18","","","","","","","","","","","","","","","","","","","","",""
"","","","9639","message","2020-08-09T06:09:12","Чай з малинавым варэннем","9658888691","","","","Котаны, на случай если телега совсем рухнет, подписывайтесь:\n\n","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://twitter.com/belteanews","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","\n","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://www.facebook.com/belteanews","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","\n","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://vk.com/belteanews","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","\n","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://ok.ru/teanews","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","\n","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","link","https://www.instagram.com/godofbelarus/","","","","","","","","","","","","","","","","","",""
"","","","9640","message","2020-08-09T06:11:52","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","966","472","А1 тактично намекнул, кто виноват в хреновом интернете","2020-08-09T06:57:56","","","","","","","","","","","","","","","","","","","","",""
"","","","9641","message","2020-08-09T06:14:36","Чай з малинавым варэннем","9658888691","","","","В общем в проблемах интернета в Беларуси виноват сам Белтелеком и Национальный Центр Обмена Трафиком. Не надо выдумывать про злые иностранные трафики, все всё понимают","","","","","","","","","","","","","","","","","","","","","",""
"","","","9642","message","2020-08-09T06:18:08","Чай з малинавым варэннем","9658888691","","800","1264","И на всех парах, под звуки сигналящих авто Лукашенко выехал из Минска (после того как проголосовал).","","","","","#МотолькоПомоги этому городишко от 3% избавиться","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","8","","","","","","","","","","","",""
"","","","9643","message","2020-08-09T06:22:13","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","800","645","Ермошина заявила, что выборы в Беларуси официально состоялись","","","","","","","","","","","","","","","","","","","","","",""
"","","","9644","message","2020-08-09T06:40:41","Чай з малинавым варэннем","9658888691","","","","Важный UPD: к сожалению закон проставление даты сегодня не предусматривает, если запретят это сделать - это будет законно, если разрешат - ок и полезно.","","9638","","","","","","","","","","","","","","","","","","","",""
"","","","9645","message","2020-08-09T06:44:57","Чай з малинавым варэннем","9658888691","","400","592","Интересно что это такое через окно выносят члены одной из избирательных комиссий под присмотром милиции","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","39","","","","","","","","","","","",""
"","","","9646","message","2020-08-09T06:51:36","Чай з малинавым варэннем","9658888691","(File not included. Change data exporting settings to download.)","1013","700","Многие уже и забыли что это такое","","","","","","","","","","","","","","","","","","","","","",""
