"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__title","messages__reply_to_message_id"
"","","","998","message","2020-08-11T11:24:26","","БАЖ / BAJ","9691800322","","","","TUTBY и Onliner недоступны из Беларуси. Возникли создаваемые технические проблемы\n\nСотрудники компании заметили, по их словам, полную фильтрацию трафика. Сайты TUTBY и Onliner не открываются в Беларуси. При этом если вбить адрес конкретной новости, то страница будет доступна, -- пишет ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\nОтметим, что для посетителей из-за границы либо с VPN у нас работает «зеркало» по адресу ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","http://news.tutby.news/","","","","","","","","","","","","","","","","","","",""
"","","","999","message","2020-08-11T11:26:40","","БАЖ / BAJ","9691800322","","","","","bold","В Могилёве пропали журналисты Алина Скребунова и Александр Сидоревский. Они успели отправить коллегам SOS-сообщение.","","","","","","","","","","","","","","","","","","",""
"","","","1000","message","2020-08-11T11:37:26","2020-08-11T11:38:48","БАЖ / BAJ","9691800322","","","","Местонахождение задержанного ночью главреда ""Нашай Нівы"" Егора Мартиновича по-прежнему неизвестно. \nОб этом БелаПАН сообщила его жена, журналистка Адарья Гуштын.\n\n""В 1.57 от него пришла эсэмэска SOS, в 2.40 — вторая такая же. Около 3.00 пришла СМС ""Партизанское РУВД или Окрестина"", — рассказала Гуштын. — Изначально говорили, что он на Окрестина и утром его привезут, но до сих пор мне не известно, где он"".\n\nПо словам Гуштын, адвокат Мартиновича также не может его найти. ""На сегодняшний день ни в одном из судов Минска нет административного дела в отношении Егора"", — сказала супруга главного редактора ""Нашай Нiвы"".\nОна отметила, что обзвонила все городские больницы, ни в одной из них ее мужа нет.","","","","","","","","","","","","","","","","","","","","",""
"","","","1001","message","2020-08-11T11:59:43","","БАЖ / BAJ","9691800322","","","","Дзяржаўны тэлеканал АНТ паведаміў, што ў Менску за гандлёвым цэнтрам «Рыга» знойдзены мікрааўтобус з расейскімі нумарамі, «які быў цалкам загружаны амуніцыяй, намётамі і іншымі прадметамі для арганізацыі вулічных беспарадкаў».\n\nТелаканал паведаміў са спасылкай на правахоўнікаў, такія знаходкі могуць паказваць, што сытуацыю «спрабавалі разгайдаць з па-за межаў Беларусі». У сюжэце гаворыцца, што ўкраінскія і расейскія сьляды ў арганізацыі пратэстаў нібыта адсочваюцца ня толькі ў Менску, але і ў Наваполацку і ў іншых гарадах краіны, — піша Радыё Свабода","","","","","","","","","","","","","","","","","","","","",""
"","","","1002","message","2020-08-11T12:51:57","","БАЖ / BAJ","9691800322","","1280","720","","bold","Мінск.","","","","","","Euroradio","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","","","","","","","",""
"","","","","","","","","","","",""," Так 9 жніўня затрымлівалі журналіста ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","text_link","""Медузы""","https://t.me/meduzalive","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Максіма Салопава","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",". Рэдакцыя дагэтуль не ведае, дзе ён і што з ім.","","","","","","","","","","","","","","","","","","","","",""
"","","","1003","message","2020-08-11T12:57:18","","БАЖ / BAJ","9691800322","","","","","bold","За суткі сістэма абыхода інтэрнэт-цэнзуры Psiphon зафіксавала 2,7 млн падключэнняў з Беларусі. Больш толькі ў Іране — 3,2 млн, — Еўрарадыё.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Спампаваць Psiphon можна тут ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://www.psiphon3.com/ru/download.html","","","","","","","","","","","","","","","","","","",""
"","","","1004","message","2020-08-11T13:08:19","2020-08-11T13:10:51","БАЖ / BAJ","9691800322","","","","","bold","Жена задержанного в Минске журналиста «Медузы» Максима Солопова подала в московскую полицию заявление о его исчезновении.\n\nС Максимом  нет связи уже более 40 часов. Где он находится, неизвестно, -- Медуза","","","","","","","","","","","","","","","","","","",""
"","","","1005","message","2020-08-11T13:13:19","","БАЖ / BAJ","9691800322","","","","","bold","В Бресте на Советской около 10 омоновцев целенаправленно бросились на корреспондента TUT.BY Станислава Коршунова и жестко задержали его. Связи со Станиславом нет, — TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","1006","message","2020-08-11T13:23:53","2020-08-11T13:27:05","БАЖ / BAJ","9691800322","","","","","bold","Спецкор «Медузы» Максим Солопов освобожден. Его передали сотрудникам посольства России\n\nЖурналиста отпустили из изолятора на улице Окрестина в Минске (Центр изоляции правонарушителей ГУВД Мингорисполкома) и передали сотрудникам посольства. В ближайшее время его отвезут на границу России, -- Медуза\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/speckor-meduzy-maksim-solopov-osvobozhden-ego-peredali-sotrudnikam-posolstva-rossii","","","","","","","","","","","","","","","","","","",""
"","","","1007","message","2020-08-11T13:44:36","2020-08-11T13:44:46","БАЖ / BAJ","9691800322","","","","","bold","Затрымалі «Белсатаўцаў» Паўла Патапава і Івана Мураўёва. Ехалі ў машыне і здымалі на тэлефоны. ДАІшнікі спынілі, прагледзелі галерэю ў тэлефонах, яна ім не спадабалася і іх затрымалі. Куды павезлі – невядома, — Белсат.","","","","","","","","","","","","","","","","","","",""
"","","","1008","message","2020-08-11T13:48:16","","БАЖ / BAJ","9691800322","","","","","bold","В Минске вышел на свободу журналист Станислав Ивашкевич.\nЕго избили и задержали в воскресенье. Сегодня оштрафовали на 30 базовых.","","","","","","","","","","","","","","","","","","",""
"","","","1009","message","2020-08-11T13:51:04","2020-08-11T13:52:10","БАЖ / BAJ","9691800322","","","","","bold","Задержанный вчера фотокор ""РИА Новости"" Илья Питалев освобождён, — заявил российский посол в Минске, -- РИА Новости.","","","","","","","","","","","","","","","","","","",""
"","","","1010","message","2020-08-11T13:54:44","2020-08-11T13:54:59","БАЖ / BAJ","9691800322","","","","Сіняя форма, чорная камізэлька - сілавік напаў на журналістаў каля гатэля Арбіта. \n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Ён ударыў па камеры фотакара агенцтва Асашыэйтэд прэс Сяргея Грыца, забраў флэш-карту ў фотакара Нашай Нівы Надзеі Бужан. ""У*бывай, а то камеру разаб'ю"", — крычаў ён Грыцу. - Карэспандэнт Нашай Нівы","","","","","","","","","","","","","","","","","","",""
"","","","1011","message","2020-08-11T14:00:02","","БАЖ / BAJ","9691800322","","","","","bold","!!! На Пушкинской пострадал видеооператор TUT.BY Всеволод Зарубин, его ударили по ноге. Силовики разбили экран камеры и забрали рабочую флешку с видео.","","","","","","","","","","","","","","","","","","",""
"","","","1012","message","2020-08-11T14:07:40","2020-08-11T14:08:39","БАЖ / BAJ","9691800322","","","","","bold","!!! В Гродно задержан журналист Hrodna.life Руслан Кулевич и его жена Татьяна.\nПри задержании Руслан  был избит.","","","","","","","","","","","","","","","","","","",""
"","","","1013","message","2020-08-11T14:10:38","2020-08-11T14:12:10","БАЖ / BAJ","9691800322","","","","","bold","Отпустили журналиста Станислава Ивашкевича, автора расследования о женщинах в жизни Лукашенко.\n\nОн рассказал «Белсату», что в камере было 13 человек (двоих позже госпитализировали), на всех дали одну буханку хлеба, а когда задержанные стали просить еды, сотрудники милиции «ворвались в камеру и начали всех избивать», — Белсат.\n\nИвашкевича задержали 9 августа.","","","","","","","","","","","","","","","","","","",""
"","","","1014","message","2020-08-11T14:12:24","","БАЖ / BAJ","9691800322","","","","","bold","Фотокору АР Сергею Грицу на Пушкинской разбили камеру.","","","","","","","","","","","","","","","","","","",""
"","","","1016","message","2020-08-11T14:27:12","","БАЖ / BAJ","9691800322","","","","","bold","!!! У фотографа TUT.BY Вадима Замировского сорвали бейдж и также забрали флешку. Флешки с рабочими материалами также забрали у фотографов TUT.BY Дарьи Бурякиной, Associated Press Сергея Грица (повреждена и камера) и «Нашей Нiвы» Надежды Бужан, — TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","1017","message","2020-08-11T14:28:55","","БАЖ / BAJ","9691800322","","","","","bold","!!! Каля францускай амбасады затрымалі карэспандэнтаў Onliner.by Улада Барысевіча і апэратара, які быў зь ім, — Радыё Свабода","","","","","","","","","","","","","","","","","","",""
"","","","1021","message","2020-08-11T15:13:13","","БАЖ / BAJ","9691800322","","","","","bold","Радыё Свабода аднаўляе вяшчаньне на сярэдніх хвалях\n\nЗ 12 жніўня праграмы на беларускай мове, прысьвечаныя актуальным палітычным падзеям у краіне, можна штодня слухаць на частаце 1386 кГц з 21:00 да 22:00 і з 23:00 да поўначы па менскім часе.\nУ эфіры:\n·  навіны\n·  прамыя ўключэньні карэспандэнтаў зь месцаў падзеяў у Беларусі\n·  гутаркі з камэнтатарамі","","","","","","","","","","","","","","","","","","",""
"","","","1023","message","2020-08-11T15:30:04","","БАЖ / BAJ","9691800322","","","","Фотографу ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","Tut.by","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," Вадиму Замировскому повредили камеру. Раньше сообщалось, что у него и других фотографов и операторов изымают флешки. Замировский предполагает, что милиции дали указание бить камеры.","","","","","","","","","","","","","","","","","","","","",""
"","","","1024","message","2020-08-11T15:41:17","","БАЖ / BAJ","9691800322","","","","","bold","В Гродно ОМОН окружил корреспондента и фотографа Tut.by и заставил удалить несколько снимков со словами «Не снимать сотрудников! У вас будут проблемы!», — TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","1025","message","2020-08-11T16:03:01","","БАЖ / BAJ","9691800322","(File not included. Change data exporting settings to download.)","720","1280","В Минске с применением силы задержали журналистов Onliner — бильд-редактора Владислава Борисовича и видеокорреспондента Сергея Птушко. У последнего разбита камера. \n\nНедалеко от французского посольства журналисты вышли из машины, чтобы сделать снимки и видео стоящих на улице милицейских «Хаммеров». Отошли от служебного автомобиля примерно на 15 метров. Были без синих жилетов «Пресса», но с профтехникой в руках (что касается жилетов, вчера они, по нашему наблюдению, служили мишенью и позволяли обозначить журналистов для активных действий милиции). Только начали снимать, из белой легковушки на них выбежали люди в черном и в балаклавах.","","","","","","","","Onliner","","","","","","","","","","","","",""
"","","","1026","message","2020-08-11T16:11:18","","БАЖ / BAJ","9691800322","","854","480","Также сообщается о задержании и избиении журналиста ","","","","","","","","Onliner","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","48","","","","","","","",""
"","","","","","","","","","","","","","link","Tut.by","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," Станислава Коршунова. У фотокорреспондента Associated Press Сергея Грица разбили дисплей камеры. Фотокорреспондент «Нашай Нівы» Надежда Бужан рассказала, что из ее камеры силовики забрали флешку.","","","","","","","","","","","","","","","","","","","","",""
"","","","1027","message","2020-08-11T16:26:28","","БАЖ / BAJ","9691800322","","","","","bold","!!! В Минске силовики напали на съемочную группу Би-би-си. У всех троих журналистов были аккредитации, выданные министерством иностранных дел Беларуси, все были в опознавательных жилетках и с удостоверениями.\n\nГруппа мужчин в черной униформе без опознавательных знаков подошла к журналистам, один из них потребовал предъявить аккредитацию, после чего сорвал карточку с шеи корреспондента, вырвал из рук камеру и попытался сломать ее.\n\nЕще двое журналистов Би-би-си попытались убедить силовиков вернуть карточку аккредитации. В ответ двое из них начали бить оператора и наносить удары по его камере. Журналисты Би-би-си не были задержаны, -- Би-би-си https://bbc.in/2DyZHKx","","","","","","","","","","","","","","","","","","",""
"","","","1028","message","2020-08-11T16:28:57","","БАЖ / BAJ","9691800322","","640","360","","bold","Так сегодня остановили машину с журналистами TUT.BY","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","102","","","","","","","",""
"","","","","","","","","","","",""," \n\nПодъехали три автобуса, вышли люди с оружием, начали проверять документы. Уточнили «Кому ты везешь каски?» (для работы) и пустили дальше.\n\nПосле видеооператор из этого авто пострадал: Всеволода Зарубина ударили по ноге на Пушкинской. Силовики разбили экран камеры и забрали рабочую флешку с видео.","","","","","","","","","","","","","","","","","","","","",""
"","","","1029","message","2020-08-12T02:26:30","","БАЖ / BAJ","9691800322","","","","","bold","Задержанный в Бресте омоновцами корреспондент TUT.BY не вышел на свободу. Милиция не говорит, где он и что с ним.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Наш коллега Станислав Коршунов, задержанный вечером 11 августа в Бресте во время выполнения своих профессиональных обязанностей, до этого времени на свободу так и не вышел. В местном РОВД супруге Станислава отказываются сообщить, где ее муж и почему его задержали.","","","","","","","","","","","","","","","","","","","","",""
"","","","1030","message","2020-08-12T02:37:05","","БАЖ / BAJ","9691800322","","","","","bold","Стало известно, что вчера в Минске был задержан редактор By.Tribuna.com Максим Березинский.\nПоследняя связь с ним была из Ленинского РУВД","","","","","","","","","","","","","","","","","","",""
"","","","1032","message","2020-08-12T02:51:15","","БАЖ / BAJ","9691800322","","","","","bold","Стало известно, что вчера в Слониме был задержан журналист ""Газеты Слонимской"" Евгений Володощук.\nЕго будут судить за якобы участие в несанкционированной акции.","","","","","","","","","","","","","","","","","","",""
"","","","1033","message","2020-08-12T04:05:09","","БАЖ / BAJ","9691800322","","","","","bold","Стало известно, что еще в понедельник в Минске задержан польский журналист Витольд Добровольски (Witold Dobrowolski).\n\nОн задержан, но где находится неизвестно. Его ищет посольство, но пока информации нет.","","","","","","","","","","","","","","","","","","",""
"","","","1034","message","2020-08-12T04:08:57","","БАЖ / BAJ","9691800322","","","","","bold","!!! Целенаправленно задерживали и били журналистов. Остановите насилие! СПИСОК\n\nВ Минске и других городах Беларуси во вторник, 11 августа, произошли нападения и задержания представителей прессы.\nОО «Белорусская ассоциация журналистов» призывает власти остановить насилие.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Задержанные 11 августа в Минске журналисты, которые не вышли на свободу: Павел Потапов, Иван Муравьёв, Максим Березинский.\n\nТакже задержанными остаются схваченные ранее: Ягор Мартинович, Татьяна Белашова, Виталий Дубик, Алена Щербинская, Александр Пашкевич, Алексей Худанов, Никита Телиженко, Витольд Добровольски (Польша) режиссер Максим Швед.\nМВД не даёт информации, где они и в чем их обвиняют.\n\nТакже 11 августа силовики намеренно применяли насилие к обозначенным журналистам, намеренно повреждали технику, изымали флеш-карты с отснятым материалом. Такие нападения произошли на журналистов Сергея Грица, Вадима Замировского, Надежду Бужан, Владислава Борисовича, Сергея Птушко, Дарью Бурякину, Всеволода Зарубина, троих журналистов Би-би-си.\n\nВ регионах были задержаны и ожидают суда журналисты: Руслан Кулевич (Гродно), Александр Денисов (Гродно), Евгений Володощук (Слоним), Станислав Коршунов (Брест), Евгении Николаевич (Пинск), Алина Скребунова (Могилёв), Александр Сидоревский (Могилёв), Дмитрий Соловьев (Могилёв), Дмитрий Казакевич (Витебск), Игорь Матвеев (Витебск), Евгений Юшковский (Бобруйск), Алесь Чигирь (Бобруйск), Евгений Глаголев-Васькович (Бобруйск).\n\nСписок обновляется.\n\nЖурналисты — не участники акций. Согласно Закона о СМИ, Конституции и международного права, они имеют право освещать акции.\n\nОО «Белорусская ассоциация журналистов» призывает власть немедленно прекратить нападения и задержания представителей СМИ. Освободить и прекратить преследование уже задержанных журналистов.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/celenapravlenno-zaderzhivali-i-bili-zhurnalistov-ostanovite-nasilie-spisok","","","","","","","","","","","","","","","","","","",""
"","","","1035","message","2020-08-12T04:39:48","","БАЖ / BAJ","9691800322","","","","!!! ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Редактор «Могилёвского региона» Дмитрий Соловьёв осуждён на 8 суток ареста.\n\nСуд прошел в ИВС Могилёве. Журналист продолжает голодовку.","","","","","","","","","","","","","","","","","","",""
"","","","1036","message","2020-08-12T05:53:25","2020-08-12T05:58:58","БАЖ / BAJ","9691800322","(File not included. Change data exporting settings to download.)","812","724","","bold","Корреспондент нидерландского медиа получила ранение в бедро во время акций протеста в Минске\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Как сообщает ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","nrc.nl","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",", Эмили Ван Оутерен получила ранение неизвестным снарядом в бедро. Она вернулась в Нидерланды и в данных обстоятельствах чувствует себя хорошо, пока неизвестно, сколько ей придется пробыть в больнице\n\nПосле закрытия участков для голосования в воскресенье вечером (9 августа) она разговаривала с людьми во время акций протеста. Когда силовики начали стрелять по демонстрантам, журналистка была ранена в бедро неизвестным снарядом.","","","","","","","","","","","","","","","","","","","","",""
"","","","1037","message","2020-08-12T05:58:04","","БАЖ / BAJ","9691800322","","","","","bold","Журналисту Дмитрию Казакевичу дали 10 суток ареста.\nВитебск. Был задержан в воскресенье.\n\nhttps://baj.by/be/content/zmitru-kazakevichu-prysudzili-10-sutak-aryshtu-za-asvyatlenne-pratestau-u-vicebsku","","","","","","","","","","","","","","","","","","",""
"","","","1038","message","2020-08-12T06:56:53","","БАЖ / BAJ","9691800322","","","","","bold","Машину пропавшего более суток назад главреда «Нашей Нивы» Егора Мартиновича нашли в Минске. Все его вещи в машине, кроме журналистского бейджа, который был на нем. В машине только шлейка от бейджа.\n\nГде Егор по-прежнему неизвестно.","","","","","","","","","","","","","","","","","","",""
"","","","1039","message","2020-08-12T07:10:36","2020-08-12T07:13:24","БАЖ / BAJ","9691800322","","","","","bold","Рэдактар By.tribuna.com Максім Беразінскі на свабодзе\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/redaktar-bytribunacom-maksim-berazinski-na-svabodze","","","","","","","","","","","","","","","","","","",""
"","","","1040","message","2020-08-12T07:31:55","","БАЖ / BAJ","9691800322","","","","","bold","Стало известно, что ночью 12 августа в минском микрорайоне Серебрянка представители силовых структур применили силу к сотрудникам белорусской «Комсомолки». Журналиста Геннадия Можейко ударили дубинкой по ногам и рукам, а водителя «КП» несколько раз ударили дубинкой по ногам.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","- Мы приехали в Серебрянку, чтобы осветить протесты, которые там происходили. Когда увидели бойцов в касках и с закрытыми лицами, отошли к парковке на перекрестке Рокоссовского и улицы Плеханова. Сели в машину. Силовики ходили по стоянке и смотрели, есть ли в машинах люди, - рассказывает журналист Геннадий Можейко, который был в жилетке с надписью «Пресса» и с бейджем на груди. - Подбежали к нам около десяти сотрудников, окружили машину и приказали выйти. Мы представились, сказали, что пресса. Я достал удостоверение журналиста «КП», передал сотруднику, в ответ услышал маты, пошли удары дубинкой по руке и ноге, ударили рукой по лицу, — Комсомолка.","","","","","","","","","","","","","","","","","","","","",""
"","","","1041","message","2020-08-12T08:48:24","","БАЖ / BAJ","9691800322","","","","","bold","Милиция подтвердила родным задержание в Могилеве журналистов Алины Скребуновой и Александра Сидоревского.\nВ каком они ИВС и когда суд – не сообщают.","","","","","","","","","","","","","","","","","","",""
"","","","1042","message","2020-08-12T09:59:41","","БАЖ / BAJ","9691800322","","","","⚡️ВЫЗВАЛЕНЫ ГАЛОЎНЫ РЭДАКТАР НАШАЙ НІВЫ ЯГОР МАРЦІНОВІЧ\n\nЁн знайшоўся ў турме Жодзіна, яго вязуць у Мінск машынай МУС.","","","","","","","","","","","","","","","","","","","","",""
"","","","1043","message","2020-08-12T10:41:17","","БАЖ / BAJ","9691800322","","","","","bold","Еще один задержанный журналист, Евгений Юшковский, на свободе!","","","","","","","","","","","","","","","","","","",""
"","","","1044","message","2020-08-12T10:43:40","","БАЖ / BAJ","9691800322","","","","На свободе! ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Корреспондент TUT.BY Станислав Коршунов, задержанный вечером 11 августа в Бресте во время выполнения своих профессиональных обязанностей, вышел на свободу спустя сутки.","","","","","","","","","","","","","","","","","","",""
"","","","1045","message","2020-08-12T11:17:18","","БАЖ / BAJ","9691800322","","","","","bold","Стас Івашкевіч піша пра затрыманне:\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Дзякуй за падтрымку!\nThank you for your support!\nСпасибо за поддержку!\n\nМяне вызвалілі ўчора каля 19й вечара. Сілавікі адвезлі мяне ў мікрааўтобусе за пару кіламетраў ад турмы на Акрэсціна і выпусцілі без асабістых рэчаў, якія канфіскавалі падчас затрымання (пашпарт, тэлефон, гаманец, банкаўскія карты, наяўныя грошы, ключы). Адваката, які спрабаваў атрымаць іх назад, спачатку перанакіроўвалі на розныя паверхі, а потым, фізічна, выпхалі за дзверы турмы.\n\nМяне судзілі паводле артыкулу 23.34 - Удзел у несанкцыянаваным мерапрыемстве. Суддзя адмовілася выклікаць сведак - міліцыянтаў, якія затрымлівалі мяне ў супрацьлеглым канцы гораду, чым было напісана ў пратаколе, а таксама адмовілася праглядаць відэазапісы на маім тэлефоне, з якіх было ясна, што ў часе затрымання я выконваў свае журналіскія абавязкі. Іншым асуджаным па гэтым артыкуле давалі па 10-15 сутак арышту, але суддзя, падобна, узяла ў разлік сямейныя абставіны - тое, што я даглядаю непаўнагадовага сына, і замяніла арышт на штраф.\n\nМяне затрымалі на выбарчым участку, дзе я асвятляў абвяшчэнне вынікаў выбараў - рапартаваў на сайт, здымаў тэлефонам і рыхтаваўся да прамога ўключэння ў эфір. У момант, закрыцця ўчастка, калі людзі пачалі патрабаваць дапусціць назіральнікаў да падліку галасоў, а я здымаў гэта на тэлефон, АМАП пачаў затрымліваць людзей, у тым ліку - мяне, хаця я абвясціў ім, што я - журналіст. На той момант яшчэ затрымлівалі, параўнаўча карэктна - без збіцця.\n\nКамера, дзе я знаходзіўся з 9.08 па 11.08 - разлічаная на тры месцы. Нас там было 13 чалавек (пазней двух шпіталізавалі: аднаго - з пабоямі, атрыманымі пры затрыманні, а ў другога ногі былі пасечаныя асколкамі светашумавой гранаты). За двое сутак арышту нам выдалі адзін бохан хлеба на ўсю камеру. Адзін раз вывелі ў двор і прагналі ""праз шыхт"" збіваючы гумовымі палкамі.\n\nЗараз пад арыштам застаюцца мой аператар Ivan Murauyou і рысерчэр Siarzhuk Herasimovich, затрыманыя ў розных месцах Менску 11 і 10 жніўня адпаведна. Пра іх няма ніякіх звестак. З таго, што я ведаю на гэты момант, затрыманыя, бяз вестак аб іх месцазнаходжанні, журналісты Белсату Тацяна Белашова, Віталь Дубік, Максім Швед, Алена Шчарбінская. Ім патрэбная падтрымка міжнароднай журналісцкай салідарнасці. Журналісты іншых выданняў былі затрыманыя, збітыя, або параненыя гумовымі кулямі. Падобна, што сілавікі часта нацэльваюцца адмыслова на журналістаў.\n\nЯ працягваю журналісцкую працу. Дзякуй яшчэ раз усім сябрам у Беларусі і за мяжой за салідарнасць і падтрымку.","","","","","","","","","","","","","","","","","","","","",""
"","","","1046","message","2020-08-12T11:18:45","2020-08-12T11:18:58","БАЖ / BAJ","9691800322","","","","","bold","Юрый Караеў: Мая прынцыповая пазіцыя — журналістаў не чапаць  \n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Прэс-служба МУС пракаментавала тэму затрыманняў журналістаў.\n\n«Чарговы раз звяртаем увагу, што ў пераважнай большасці выпадкаў такіх дастаўленых адпускаюць без складання адміністрацыйнага пратакола. Мы разумеем, што гэтыя людзі таксама займаюцца сваёй прафесійнай дзейнасцю!» — гаворыцца ў заяве.\n\nПытанні працы прадстаўнікоў беларускіх СМІ, а таксама журналістаў замежных медыя, акрэдытаваных пры Міністэрстве замежных спраў, на несанкцыянаваных масавых мерапрыемствах ўзятыя на асабісты кантроль міністра ўнутраных спраў.\n\n    «Мая прынцыповая пазіцыя — журналістаў не чапаць! Акрамя выпадкаў, дзе яны становяцца паміж парушальнікамі і сіламі правапарадку», — такую   ўстаноўку сваім падначаленым даў сёння Юрый Караеў на працоўнай нарадзе.\n\nКіраўнік МУС яшчэ раз звяртаецца да журналістаў не рызыкаваць сабой на незаконных вулічных акцыях, дзе ідуць жорсткія сутыкненні.","","","","","","","","","","","","","","","","","","","","",""
"","","","1047","message","2020-08-12T11:36:16","","БАЖ / BAJ","9691800322","","","","","bold","Выдатны беларускі гісторык і супрацоўнік ""Нашай Нівы"" Аляксандр Пашкевіч знайшоўся на Акрэсціна","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",". Пра гэта Нашай Ніве паведамілі яго сваякі. Ім сказалі, што суда над ім дагэтуль не было, хоць затрымалі яго яшчэ 9-га. Ён прысутнічаў на падліку галасоў на ўчастку 103 на вуліцы Берута ў Мінску як журналіст. Да яго прычапіліся, сувязь з ім прапала. Пасля гэтага трое сутак ані калегі з Нашай Нівы, ані родныя не маглі яго адшукаць.","","","","","","","","","","","","","","","","","","","","",""
"","","","1048","message","2020-08-12T11:38:25","2020-08-12T11:58:14","БАЖ / BAJ","9691800322","","","","","bold","!!! Новые задержания журналистов в Минске. В районе Площади Победы задержаны журналисты Константин Реутский и Евгений Васильев. Их задержали сотрудники ГАИ, связь с ними пропала.","","","","","","","","","","","","","","","","","","",""
"","","","1049","message","2020-08-12T11:57:51","","БАЖ / BAJ","9691800322","","","","Дамен праекта The Village Беларусь заблакаваны","","","","","","","","Наша Нiва","","","","","","","","","","","","",""
"","","","1050","message","2020-08-12T12:49:32","2020-08-12T12:56:02","БАЖ / BAJ","9691800322","","","","❗️❗️❗️\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Жорстка затрыманы і зьбіты палітычны аналітык Віталь Цыганкоў і доктар Вольга Цыганкова\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," \n⛔️ «Супрацоўнік ДАІ прыставіў пісталет да маёй галавы», — распавяла Вольга Цыганкова.\n\nМуж і жонка Цыганковы знаходзяцца ў Маскоўскім РАУС. Вольга Цыганкова распавяла наступнае:\n\n«На Нямізе машыну спыніў супрацоўнік ДАІ, запатрабаваў выйсьці з машыны. З улікам усіх падзей, калі людзей выцягваюць з машыны, зьбіваюць і затрымліваюць, я адмовілася. Я сказала, што пакажу дакумэнты з машыны. На гэта супрацоўнік ДАІ вельмі рэзка адрэагаваў, пачаў апускаць шкло, біць па машыне, прыставіў пісталет праз вакно да маёй галавы і запатрабаваў выходзіць. Я з-за гэтага паехала наперад. Нас акружылі некалькі аўтамабіляў ДАІ, Віталя выкінулі з машыны, пабілі, паклалі на асфальт. Цяпер мы ў Маскоўскім РАУС».","","","","","","","","","","","","","","","","","","","","",""
"","","","1051","message","2020-08-12T13:07:12","","БАЖ / BAJ","9691800322","","","","Журналістаў «Белсату» Любоў Лунёву і Зміцера Солтана затрымалі. ДАІшнікі ўбачылі, як яны з аўто здымалі, і спынілі. Любу накіроўваюць у ДАІ правяраць аўто, Солтана павезлі ў РУУС.","","","","","","","","","","","","","","","","","","","","",""
"","","","1052","message","2020-08-12T13:52:54","","БАЖ / BAJ","9691800322","","","","","bold","Корреспондента портала в Бресте отпустили. При задержании он был в жилете TUT.BY, его били, техника изъята \n\n","","","","","","","","","","","","","","","","","","",""
