"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__sticker_emoji"
"","","","","","","","","","","","","\n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","italic","""Мы открываем дополнительный, специальный целевой набор для граждан Беларуси с продленным сроком приема заявлений. Мы будем поддерживать также наших нынешних белорусских студентов, предлагая им помощь в изучении польского языка, психологическую поддержку, а также возможность профессионального совершенствования»","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",", – говорится на странице университета.\n\nКандидатом на обучение из Беларуси Силезский университет предлагает:\n\n ⁃ дополнительные 40 мест на обучение с этого учебного года,\n ⁃ вступительная кампания продлена до 30 октября 2020 г.,\n ⁃ возможность доукомплектовки документов, требуемых для поступления, до 31 ноября,\n ⁃ мягкие условия, касающиеся даты начала обучения и личного присутствия на занятиях,\n ⁃ возможность получения бесплатного места в общежитии Силезского университета в течение первого месяца, а в случае тяжелого материального положения студента - в течение первых 4-8 месяцев при подаче студентам письменного заявления,\n ⁃ помощь так называемых buddies (опекунов), то есть помощь польских и иностранных студентов в начале обучения и жизни в Польше,\n ⁃ информационная поддержка со стороны отдела рекрутинга иностранцев, связанная с записью на обучение, а также поддержка во время обучения.\n\nПодробности можно прочитать ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","text_link","здесь","https://us.edu.pl/uniwersytet-slaski-dla-bialorusi-ulatwiamy-rekrutacje-i-oferujemy-studia/#BE","","","","","","","","","","","","","",""
"","","","3757","message","2020-09-01T16:58:10","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","956","1276","Ох уж эти белорусские партизаны.","","","","","","","","","","","","","","","","",""
"","","","3758","message","2020-09-02T02:19:14","","отчислено","9910498247","","720","1280","Студенты пришли на разговор с первым проректором БНТУ, а к ним подкатила служба безопасности университета и тихарьки а чёрном, которых видно на фоне в видео.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","60","","","","","","","",""
"","","","3759","message","2020-09-02T02:28:44","","отчислено","9910498247","","848","848","Речь декана ФДО БГПУ перед студентами вчера.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","94","","","","","","","",""
"","","","3763","message","2020-09-02T03:45:00","2020-09-02T04:02:54","отчислено","9910498247","(File not included. Change data exporting settings to download.)","640","610","В ГрГУ замечены сотрудники ОМОН.\n\nUPD:Это не ОМОН - департамент охраны прибыл по сработавшему сигналу.","","","","","","","","","","","","","","","","",""
"","","","3764","message","2020-09-02T04:21:32","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","960","1280","После большого количества заявлений на выход из брсм, принесенных 1 сентября, брсм бгму решил просто закрыть кабинет. Студенты сообщают, что уже трижды сегодня приходили и все время закрыто.","","","","","","","","","","","","","","","","",""
"","","","3765","message","2020-09-02T04:49:13","","отчислено","9910498247","","848","848","Монолог представителя силовых структур возле ректората БНТУ.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","108","","","","","","","",""
"","","","3766","message","2020-09-02T05:02:39","2020-09-02T06:12:06","отчислено","9910498247","(File not included. Change data exporting settings to download.)","693","521","В Витебске студенты ветеринарной академии собрались на протест. Стоят молча, без плакатов. Милиция наблюдает.\n\np. s. В итоге задержали двоих.","","","","","","","","","","","","","","","","",""
"","","","3767","message","2020-09-02T05:02:39","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","692","521","","","","","","","","","","","","","","","","","",""
"","","","3768","message","2020-09-02T05:02:40","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","692","518","","","","","","","","","","","","","","","","","",""
"","","","3769","message","2020-09-02T05:43:10","","отчислено","9910498247","","1280","720","Акция у МГЛУ сегодня. Милиционер просит всех разойтись.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","65","","","","","","","",""
"","","","3770","message","2020-09-02T05:53:06","","отчислено","9910498247","","","","Возле МГЛУ начались задержания.","","","","","","","","","","3769","","","","","","",""
"","","","3771","message","2020-09-02T05:57:49","","отчислено","9910498247","","720","1280","А вот и видео задержания.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","3770","","","","","","",""
"","","","3772","message","2020-09-02T06:02:58","","отчислено","9910498247","","720","1280","Ещё пара видео из МГЛУ, сильно.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","31","","","","","","","",""
"","","","3773","message","2020-09-02T06:02:58","","отчислено","9910498247","","720","1280","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","9","","","","","","","",""
"","","","3774","message","2020-09-02T06:12:36","","отчислено","9910498247","","720","1280","Студенты МГЛУ скандируют «Жыве Беларусь».","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","","","","","","","",""
"","","","3775","message","2020-09-02T06:18:59","2020-09-02T06:24:13","отчислено","9910498247","","","","Задержанным вчера студентам начали раздавать аресты сроком от 5 до 15 суток.\n\nРезультаты обновляются в таблице: ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://cutt.ly/FfxhDJX","","","","","","","","","","","","","","",""
