"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__photo","messages__edited","messages__reply_to_message_id","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"","","","7757","message","2020-08-14T02:56:20","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","1080","1920","Протест работников культуры возле Белгосфилармонии.","","","","","","","","","","","","","","","",""
"","","","7758","message","2020-08-14T02:57:53","NEXTA Live","10003210496","","","","","","","720","540","Работники Минских электрических сетей Острошицко-Городокского района попросили передать, что они с народом!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7759","message","2020-08-14T02:59:49","NEXTA Live","10003210496","","","","","","","1280","960","Строители БелАЭС с народом!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7760","message","2020-08-14T03:03:42","NEXTA Live","10003210496","","","","","","","","","Минский Завод Шестерён (МЗШ) тоже объявляет всеобщий сбор! В 12:00 возле аллеи!","","","","","","","","","","","","","","","",""
"","","","7761","message","2020-08-14T03:04:19","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","1080","1920","Гроднопромстрой тоже на забастовке!","","","","","","","","","","","","","","","",""
"","","","7762","message","2020-08-14T03:07:28","NEXTA Live","10003210496","","","","","","","1280","960","Филиал «Минские кабельные сети» с самого утра на забастовке!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7763","message","2020-08-14T03:07:54","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","720","1280","ГродноАзот продолжает забастовку!","","","","","","","","","","","","","","","",""
"","","","7764","message","2020-08-14T03:15:23","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","1080","1920","БелКард убедительно демонстрирует РЕАЛЬНЫЕ результаты голосвания на выборах!","","","","","","","","","","","","","","","",""
"","","","7765","message","2020-08-14T03:16:43","NEXTA Live","10003210496","","","","","","","693","998","Сотрудники Минской теплосети обращаются!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7766","message","2020-08-14T03:24:01","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","116","360","640","Мужики с БелАЭС не лыком шиты!","","","","","","","","","","","","","","","",""
"","","","7767","message","2020-08-14T03:26:59","NEXTA Live","10003210496","","","","","","","1280","720","Бакунинский авторынок Гомеля выходит на забастовку и выражает свою солидарность!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7768","message","2020-08-14T03:28:04","NEXTA Live","10003210496","s13.ru – Новости Гродно","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","16","1080","1920","В Гродно сегодня проходит собрание рабочего коллектива ""Гродно Азот"" с мэром города и представителями силовых структур.\nГлавные вопросы: честный подсчёт голосов и прекращение избиений людей сотрудниками ОМОНа.\n\nРуководство предлагает провести собрание в актовом зале. Рабочие категорически против","","","","","","","","","","","","","","","",""
"","","","7769","message","2020-08-14T03:29:15","NEXTA Live","10003210496","","","","","","","","","ОАО ""Гомельский мясокомбинат"" тоже собирается на забастовку!","","","","","","","","","","","","","","","",""
"","","","7770","message","2020-08-14T03:29:35","NEXTA Live","10003210496","","","","","","","","","На ОАО ""СветлогорскХимволокно"" в 14:00 на центральной проходной планируется забастовка.","","","","","","","","","","","","","","","",""
"","","","7771","message","2020-08-14T03:32:02","NEXTA Live","10003210496","","","","","","","1280","960","⚡️МТЗ ВЫХОДИТ!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7772","message","2020-08-14T03:32:06","NEXTA Live","10003210496","","","","","","","1280","960","Близкие и родные задержанных белорусов на последних мирных протестах собрались около ИВС в Могилёве с требованием ","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","italic","«отпустить людей!»","","","","","","","","","","","","","",""
"","","","7773","message","2020-08-14T03:32:27","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","720","1280","ГродноАзот — мощь!","","","","","","","","","","","","","","","",""
"","","","7774","message","2020-08-14T03:35:38","NEXTA Live","10003210496","","","","","","","","","❗️","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","bold","Белшина объявляете общий сбор в 12.00 на проходной! ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","И очень просит горожан прийти и поддержать!","","","","","","","","","","","","","","","",""
"","","","7775","message","2020-08-14T03:39:01","NEXTA Live","10003210496","","","","","","","1280","640","","bold","‼️ЧТО-ТО НЕВЕРОЯТНОЕ ПРОИСХОДИТ НА ГРОДНОАЗОТЕ!","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7776","message","2020-08-14T03:39:02","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","26","720","1280","","","","","","","","","","","","","","","","",""
"","","","7777","message","2020-08-14T03:41:52","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","29","720","1280","","bold","⚡️МТЗ! СОТНИ РАБОЧИХ СКАНДИРУЮТ ""УХОДИ!""","","","","","","","","","","","","","",""
"","","","7778","message","2020-08-14T03:43:50","NEXTA Live","10003210496","","","","","","","1280","960","Локомотивное депо ""Лида"". Бастуют все!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7779","message","2020-08-14T03:46:29","NEXTA Live","10003210496","","","","","","","1096","1007","МЗОР присоединяется к ОБЩЕРЕСПУБЛИКАНСКОЙ ЗАБАСТОВКЕ в 12.00!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7780","message","2020-08-14T03:51:21","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","720","1280","МТЗ требует СВОБОДЫ!","","","","","","","","","","","","","","","",""
"","","","7781","message","2020-08-14T03:51:50","NEXTA Live","10003210496","Наша Нiва","","","","","","960","1280","Айцішнікі ПВТ у Мінску выйшлі на кальцавую.","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7782","message","2020-08-14T03:54:13","NEXTA Live","10003210496","","","","","","","960","1280","Гродно! Рынок ""Южный"" с вами!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7783","message","2020-08-14T03:58:23","NEXTA Live","10003210496","","","","","","","1226","720","МТЗ выдвинул свои требования!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7784","message","2020-08-14T04:00:41","NEXTA Live","10003210496","","","","","","","","","‼️","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","bold","Премьер-министр Головченко едет на встречу с работниками МТЗ!","","","","","","","","","","","","","",""
"","","","7785","message","2020-08-14T04:02:37","NEXTA Live","10003210496","","","","","","","","","Работники IT-сферы сегодня в 13.00 собираются на площадке ПВТ по ул. Академика Купревича 1/1! Они присоединяются к забастовке!","","","","","","","","","","","","","","","",""
"","","","7786","message","2020-08-14T04:03:13","NEXTA Live","10003210496","","","","","","","","","ОАО ""СветлогорскХимволокно"" в 14:00 тоже начинает забастовку!","","","","","","","","","","","","","","","",""
"","","","7787","message","2020-08-14T04:04:21","NEXTA Live","10003210496","","","","","","","","","Минские электрические сети объявляют сбор в 12.00 на Тимирязева, 60!","","","","","","","","","","","","","","","",""
"","","","7788","message","2020-08-14T04:04:40","NEXTA Live","10003210496","","","","","","","","","Сегодня в 17:00 в Солигорске около здания Беларуськалий собираются шахтеры!","","","","","","","","","","","","","","","",""
"","","","7789","message","2020-08-14T04:04:46","NEXTA Live","10003210496","","","","","","","","","Белрыба (Минск). Коллектив рабочих и администрации присоединяется к забастовке с 12:00.","","","","","","","","","","","","","","","",""
"","","","7790","message","2020-08-14T04:10:12","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","23","1280","720","Ждановичи тоже бастуют! Победа близка!","","","","","","","","","","","","","","","",""
"","","","7791","message","2020-08-14T04:14:05","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","720","1280","Коллектив ТЭЦ-4 вызвал руководство на разговор!","","","","","","","","","","","","","","","",""
"","","","7792","message","2020-08-14T04:14:49","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","36","1280","720","Рынок в Новогрудке передаёт Ждановичам привет и тоже присоединяется к забастовке!","","","","","","","","","","","","","","","",""
"","","","7793","message","2020-08-14T04:17:00","NEXTA Live","10003210496","","","","","","","","","Сообщают, что Центральный рынок Пинска присоединился к забастовке!","","","","","","","","","","","","","","","",""
"","","","7794","message","2020-08-14T04:19:47","NEXTA Live","10003210496","","","","","","","1280","960","Поставский лесхоз бастует! ❤️✊✌️","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7795","message","2020-08-14T04:21:44","NEXTA Live","10003210496","","","","","","","","","⚡️ На БелОМО (Минском механическом заводе имени С.И. Вавилова) также планируется сбор на заводской площади в 11:30!","","","","","","","","","","","","","","","",""
"","","","7796","message","2020-08-14T04:22:02","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","1280","720","Работник завода ""Гродно Азот"" попросил замначальника УВД положить руку на Конституцию и честно отвечать на вопросы. Тот отказался.","","","","","","","","","","","","","","","",""
"","","","7797","message","2020-08-14T04:25:15","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","1024","576","Врачи станции скорой помощи в Барановичах выступают ПРОТИВ НАСИЛИЯ!","","","","","","","","","","","","","","","",""
"","","","7798","message","2020-08-14T04:26:15","NEXTA Live","10003210496","","","","","","","1276","956","Передовики уборочной кампании с нами!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7799","message","2020-08-14T04:26:37","NEXTA Live","10003210496","","","","","","","960","1280","Железнодорожники в Гродно стремятся в лучшее будущее и присоединились к забастовкам!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7800","message","2020-08-14T04:29:34","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","39","1280","720","В Гродно также бастует Южный рынок!","","","","","","","","","","","","","","","",""
"","","","7801","message","2020-08-14T04:30:06","NEXTA Live","10003210496","","","","","","","1000","1000","Самый большой развлекательный канал в Telegram ","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","text_link","ЖЮ","","","","https://t.me/lifeyt","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," поставил аватар в поддержку белорусов.  \n\nПо нашему мнению, ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","text_link","ЖЮ","","","","https://t.me/lifeyt","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," начали сильный флешмоб, в котором стоит принять участие всем русскоязычным телеграм-каналам.","","","","","","","","","","","","","","","",""
"","","","7803","message","2020-08-14T04:46:51","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","50","1280","720","Около минской филармонии людей не сосчитать. Ох и красиво поют!","","","","","","","","","","","","","","","",""
"","","","7804","message","2020-08-14T04:47:45","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","1280","720","«Минский моторный завод» бастует!","","","","","7754","","","","","","","","","","",""
"","","","7805","message","2020-08-14T04:49:39","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","6","1280","720","","bold","«Без вас не победим!»\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","\nРаботники Жабинковского сахарного завода идут на встречу с председателем райисполкома.","","","","","","","","","","","","","","","",""
"","","","7806","message","2020-08-14T04:50:47","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","31","1280","720","Быхов стал в цепь солидарности! Мужчины дарят девушкам цветы!","","","","","","","","","","","","","","","",""
"","","","7807","message","2020-08-14T04:51:53","NEXTA Live","10003210496","Беларусь головного мозга","","","","","","635","838","Милиция з народам!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7808","message","2020-08-14T04:52:37","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","1280","720","С самого утра на на стихийный мемориал погибшему на ст. м. Пушкинская несут цветы.","","","","","","","","","","","","","","","",""
"","","","7809","message","2020-08-14T04:53:40","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","39","640","360","В Борисове водители Яндекс.Такси тоже требуют перемен!","","","","","","","","","","","","","","","",""
"","","","7810","message","2020-08-14T04:56:39","NEXTA Live","10003210496","","","","","","","900","675","Болельщики запорожского «Металлурга» поддержали белорусов перед матчем Первой лиги Украины! Жыве Беларусь!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7811","message","2020-08-14T04:58:31","NEXTA Live","10003210496","","","","","","","1280","960","Белмедпрепараты против насилия!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7812","message","2020-08-14T05:00:52","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","1280","720","⚡️МАЗ снова вышел!","","","","","","","","","","","","","","","",""
"","","","7813","message","2020-08-14T05:02:06","NEXTA Live","10003210496","","","","","","","1276","956","МЗКТ ведёт переговоры с руководством!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7814","message","2020-08-14T05:07:10","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","19","1920","1080","Coswick вышел!","","","","","","","","","","","","","","","",""
"","","","7815","message","2020-08-14T05:10:46","NEXTA Live","10003210496","","","","","","","1280","960","ОАО «Нафтан» тоже в теме!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7816","message","2020-08-14T05:10:46","NEXTA Live","10003210496","","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7817","message","2020-08-14T05:10:46","NEXTA Live","10003210496","","","","","","","854","640","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7818","message","2020-08-14T05:10:46","NEXTA Live","10003210496","","","","","","","1276","956","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7819","message","2020-08-14T05:13:27","NEXTA Live","10003210496","","","","","","","1200","675","Белшина вышла!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7820","message","2020-08-14T05:14:02","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","1280","720","На Пушкинской люди выстроились в цепь солидарности. Людей очень много!","","","","","","","","","","","","","","","",""
"","","","7821","message","2020-08-14T05:14:40","NEXTA Live","10003210496","","","","","","","1280","960","Полимир — молодцы!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7822","message","2020-08-14T05:17:58","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","60","1280","720","Работники МАЗа скандируют ""Уходи!""","","","","","","","","","","","","","","","",""
"","","","7823","message","2020-08-14T05:21:08","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","320","568","Гефест выступает за перемены!","","","","","","","","","","","","","","","",""
"","","","7824","message","2020-08-14T05:23:26","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","81","1280","720","На «Белшина» кричат: «Мы за Тихановскую» и «Жыве Беларусь!»","","","","","","","","","","","","","","","",""
"","","","7825","message","2020-08-14T05:25:27","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","1280","720","Около метро Московская в Минске люди тоже выстроились в цепи. ГАИ пытается перекрывать дороги.","","","","","","","","","","","","","","","",""
"","","","7826","message","2020-08-14T05:26:20","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","47","352","640","БелОМО вышел!","","","","","","","","","","","","","","","",""
"","","","7827","message","2020-08-14T05:28:56","NEXTA Live","10003210496","","","","","","","960","1280","Минский завод колёсных тягачей тоже за перемены!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7828","message","2020-08-14T05:34:42","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","45","1280","720","Барановичский станкостроительный завод «АТЛАНТ» поддерживает забастовки.","","","","","","","","","","","","","","","",""
"","","","7829","message","2020-08-14T05:37:42","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","1280","720","Бастует вся страна! Беларуськалий, вы молодцы!","","","","2020-08-14T06:03:00","","","","","","","","","","","",""
"","","","7830","message","2020-08-14T05:53:16","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","720","1280","ОАО «Галантэя» тоже бастует!","","","","","","","","","","","","","","","",""
"","","","7831","message","2020-08-14T05:55:32","NEXTA Live","10003210496","Наша Нiва","","","","","","","","Пратэстоўцы запаволілі рух на Партызанскім праспекце Мінска, паведамляюць чытачы і пацввярджаюць карэспандэнты ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","mention","@nashaniva","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",". ""В районе Кулешова несколько человек с плакатами перекрыли движение. Машины гудят в поддержку их. Поток объезжает их и движется очень медленно"".","","","","","","","","","","","","","","","",""
"","","","7832","message","2020-08-14T05:57:10","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","48","720","1280","А тем временем в Бресте люди направились в администрацию Московского района.","","","","","","","","","","","","","","","",""
"","","","7833","message","2020-08-14T05:59:52","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","30","720","1280","И Бобруйск «Белшина» с нами!","","","","2020-08-14T13:28:14","","","","","","","","","","","",""
"","","","7835","message","2020-08-14T06:03:34","NEXTA Live","10003210496","Страна Для Жизни","","","","","","","","Обращение | Тихановская Светлана\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","link","https://youtu.be/N3OspbawDCA","","","","","","","","","","","","","",""
"","","","7836","message","2020-08-14T06:07:33","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","1280","720","На ""Беларуськалий"" очень много людей!","","","","","","","","","","","","","","","",""
"","","","7838","service","2020-08-14T06:15:59","","","","","","","","","","","","","","","","","","NEXTA Live","10003210496","pin_message","7837","","","","","",""
"","","","7839","message","2020-08-14T06:16:54","NEXTA Live","10003210496","Наша Нiва","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","5","1920","1080","Вялікая калона людзей ідзе па праспекце Незалежнасці. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","mention","@nashaniva","","","","","","","","","","","","","",""
"","","","7840","message","2020-08-14T06:22:32","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","44","720","1280","Минский механический завод имени Вавилова - холдинга БелОМО голосовал против Лукашенко! А сегодня вышел на забастовку.","","","","","","","","","","","","","","","",""
"","","","7841","message","2020-08-14T06:28:30","NEXTA Live","10003210496","Беларусь головного мозга","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","720","1280","Вау, так бастует столичный метрополитен! Молодцы!","","","","","","","","","","","","","","","",""
"","","","7842","message","2020-08-14T06:30:19","NEXTA Live","10003210496","","","","","","","","","Еще один журналист Белтелерадиокомпании написал заявление на увольнение.\n\nДмитрий Сидорович работал в службе информации Первого национального канала Белорусского радио, был ведущим новостных выпусков.","","","","","","","","","","","","","","","",""
