"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__edited","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__text__href","messages__reply_to_message_id","messages__forwarded_from","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"NEXTA Live","public_channel","10003210496","9389","message","2020-08-24T03:16:54","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","Понедельник начинается с очередей в банках с целью купить валюту. По словам одного из наших подписчиков, очередь выстраивается ещё до открытия банка. Несмотря на то, что он был вторым в очереди, валюту купить так и не удалось. \n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","«Ответ на кассе мол могут разменять валюту более мелкими купюрами, а если нужно купить, то просят ждать пока кто-нибудь продаст валюту».","","","","","","","","","","","","","","",""
"","","","9390","message","2020-08-24T03:21:27","NEXTA Live","10003210496","","720","1280","Этой ночью около метро Пушкинская кто-то убрал все цветы с мемориала ","","","2020-08-24T03:28:15","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","","","","","","","","",""
"","","","","","","","","","","","","text_link","Тарайковского","","","","","","","https://t.me/nexta_live/7613","","","","","","","",""
"","","","","","","","","","","",".\n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","UPD:","","","","","","","","","","","","","","",""
"","","","","","","","","","",""," ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","по словам очевидцев, цветы убирали сотрудники милиции с какими-то людьми.","","","","","","","","","","","","","","",""
"","","","9391","message","2020-08-24T03:41:33","NEXTA Live","10003210496","","720","1280","В Жабинке прощаются с погибшим после протестов Геннадием Шутовым. Траурная процессия движется к церкви, мимо райисполкома. Герои не умирают!","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","","","","","","","","",""
"","","","9392","message","2020-08-24T03:59:20","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","","bold","Сегодня в Гродно будут судить доверенное лицо Светланы Тихановской\n\n","2020-08-24T04:00:33","","","","","","","","","","","","","",""
"","","","","","","","","","","","Очередной протокол «сляпан» по статье 23.4 КоАП (неподчинение законным требованиям).\n\nДмитрий Тит был задержан 7 августа сотрудниками ГАИ. Дело, по которому пытались судить Дмитрия ранее, было полностью сфабриковано. 19 августа он был освобожден из под ареста. Правда, не в связи с закрытием дела, а лишь изменили ему меру пресечения. А сегодня его снова будут судить.\n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","Слушание пройдёт в суде Ленинского района в Гродно по адресу ул. Доватора 2/1 в 17:15. Давайте поддержим парня!","","","","","","","","","","","","","","",""
"","","","9393","message","2020-08-24T04:08:24","NEXTA Live","10003210496","","","","❗️Диктатор ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","приказал выгнать из школ тех учителей","","","","","","","","","","","","","","",""
"","","","","","","","","","","",", которые «не хотят следовать принципам государственной идеологии».\n\nНет, это не шутка.","","","","","","","","","","","","","","","","",""
"","","","9394","message","2020-08-24T04:21:22","NEXTA Live","10003210496","","","","","bold","В министерстве обороны рассказали, что в Ошмянском районе остановили полет воздушных шаров с «антигосударственной символикой».\n\n","2020-08-24T04:22:06","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","«Благодаря действиям экипажей вертолетов МИ-24 из состава дежурных сил ПВО полет воздушных шаров был пресечен без применения оружия» ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","— прокомментировали ситуацию в министерстве.\n\nНапомним, что","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","text_link"," вчера в Литве проходила акция «Путь свободы»,","","","","","","","https://t.me/nexta_live/9377","","","","","","","",""
"","","","","","","","","","",""," в рамках которой около границы с Беларусью люди выстроились в цепь длинной в 32 км. Из вертолёта сбрасывали цветы, а также запускали в небо бело-красно-белые шарики. Именно эти цвета национального флага Беларуси так сильно напугали министерство обороны.","","","","","","","","","","","","","","","","",""
"","","","9395","message","2020-08-24T04:32:52","NEXTA Live","10003210496","","","","‼️СРОЧНО! Только что Ольгу Ковалькову и Сергея Дылевского задержали на проходной МТЗ сотрудники ОМОНа и поместили в автозак! Их обвинили в организации несанкционированного массового мероприятия и увезли.","","","2020-08-24T04:33:17","","","","","","","","","","","","","",""
"","","","9396","message","2020-08-24T04:37:11","NEXTA Live","10003210496","","720","1280","А вот и видео самого задержания.","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","","9395","","","","","","",""
"","","","9397","message","2020-08-24T04:57:53","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","636","523","","bold","Белорусские банки приняли на вооружение схему работы финансовых пирамид","","","","","","","","","Экономика Беларуси","","","","","",""
"","","","","","","","","","",""," - ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","выплаты по обязательствам за счёт привлеченных от населения средств. ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","\n\nКак сообщили наши подписчики, многие банки в попытке вытянуть деньги из населения подняли проценты по депозитам.\n\nА государство, в свою очередь, не оставляет банкам иного выбора, ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","ограничив операции по поддержке ликвидности","","","","","","","","","","","","","","",""
"","","","","","","","","","","",". \n\nТаким образом, власть пытается ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","удержать летящий в пропасть курс рубля ценой банковской системы","","","","","","","","","","","","","","",""
"","","","","","","","","","","",". \n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","Важно вовремя вывести средства из банков.","","","","","","","","","","","","","","",""
"","","","9398","message","2020-08-24T04:58:23","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","953","936","","bold","Шарик сбил? Лови ноту!\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","За нарушение государственной границы Литвы","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","text_link"," штурмовым воздушным шарикосбивателем","","","","","","","https://t.me/nexta_live/9394","","","","","","","",""
"","","","","","","","","","","",", лукашисты получили ноту протеста.\n\nЧто-то пока от военных выходок картонного генералиссимуса его же режиму легче не становится.🤷🏻","","","","","","","","","","","","","","","","",""
"","","","9399","message","2020-08-24T05:07:33","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","706","1230","Белорусские власти всегда удивляли своим умением считать. Что голоса на выборах, что количество людей на протестах.","","","","","","","","","","","","","","","","",""
"","","","9400","message","2020-08-24T05:39:40","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","720","1280","К мемориалу Тарайковского люди снова несут цветы.","","","","","","","","","","9390","","","","","","",""
"","","","9401","message","2020-08-24T06:04:48","NEXTA Live","10003210496","","","","❗️Пресс-конференция Координационного совета начинается!\n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","link","https://www.youtube.com/watch?v=QaTUkWRmVD8","","","","","","","","","","","","","","",""
"","","","9402","message","2020-08-24T06:20:17","NEXTA Live","10003210496","","720","1280","","bold","Сегодня Украина отмечает свой 29-й день Независимости\n\n","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","","","","","","","","",""
"","","","","","","","","","","","В честь этого в Киеве и Одессе проходят Марши защитников Украины. Кроме национальной символики страны, люди также несут очень много белорусских флагов. Украинцы поддерживают белорусов и скандируют «Жыве Беларусь!»\n\nДрузья, огромное спасибо за поддержку и солидарность! Поздравляем с Днём Независимости! Желаем, чтобы на вашей земле процветали мир и благополучие! \n\nСлава Украине!","","","","","","","","","","","","","","","","",""
"","","","9403","message","2020-08-24T06:20:17","NEXTA Live","10003210496","","720","1280","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","19","","","","","","","","",""
"","","","9404","message","2020-08-24T06:28:38","NEXTA Live","10003210496","","","","⚡️ ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","Координационный совет призвал граждан запустить процедуру отзыва депутатов всех уровней.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","О том, как это сделать, будет рассказано в ближайшее время.","","","","","","","","","","","","","","","","",""
"","","","9405","message","2020-08-24T06:45:54","NEXTA Live","10003210496","","","","","bold","❗️Шахтёры выдвинули ультиматум!\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Стачком «Беларуськалия» выдвинул силовикам ультиматум: ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","если задержанного Анатолия Бокана сегодня утром не выпустят из РОВД до 14:30","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic"," (по истечении трёх часов)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold"," — все работники предприятия соберутся у Солигорского РОВД.","","","","","","","","","","","","","","",""
"","","","9406","message","2020-08-24T06:55:43","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","640","1280","На данный момент банки покупают валюту ","","","","","","","","","","","Экономика Беларуси","","","","","",""
"","","","","","","","","","","","","bold","существенно дороже курса, установленного по результатам торгов на БВФБ","","","","","","","","","","","","","","",""
"","","","","","","","","","","",".\n\nЭто значит, что на торгах ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","не был удовлетворен спрос на валюту","","","","","","","","","","","","","","",""
"","","","","","","","","","","",", а ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","курс был установлен по указке властей","","","","","","","","","","","","","","",""
"","","","","","","","","","","",". Соответственно рыночный курс рубля - значительно ниже установленного.\n\nСтрана возвращается в эпоху множества валютных курсов и ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","попыток конфискации валютной выручки государственными органами","","","","","","","","","","","","","","",""
"","","","","","","","","","","",". \n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","В данной ситуации создание общественной системы обмена валют является номером один экономической повестки дня","","","","","","","","","","","","","","",""
"","","","","","","","","","","",".","","","","","","","","","","","","","","","","",""
"","","","9407","message","2020-08-24T07:55:45","NEXTA Live","10003210496","","","","Только что стало известно, что суд над Дмитрием Титом перенесён на 1 сентября. Очевидно, что испугались огласки и широкой поддержки!\n\nПодробности о времени будут сообщены позже.","","","2020-08-24T07:56:13","","","","","","","9392","","","","","","",""
"","","","9408","message","2020-08-24T08:17:33","NEXTA Live","10003210496","","1080","1920","На Пушкинской выстроилась цепь Солидарности. Два сотрудника милиции пытаются разгонять протестующих и ещё двое в гражданском ходят с камерами и всех снимают.","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","16","","","","","","","","",""
"","","","9409","message","2020-08-24T08:41:39","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","Цветов на Пушкинской становится всё больше!","","","","","","","","","","9400","","","","","","",""
"","","","9410","message","2020-08-24T08:41:39","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","9400","","","","","","",""
"","","","9411","message","2020-08-24T09:31:11","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","626","632","Родственникам ","","","2020-08-24T09:35:00","","","","","","","","","","","","","",""
"","","","","","","","","","","","","text_link","погибшего демонстранта Никиты Кривцова","","","","","","","https://t.me/nexta_live/9176","","","","","","","",""
"","","","","","","","","","","",", которого нашли повешенным в Партизанском районе Минска отказывают показывать тело. \n\n","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","«Забирайте этот мешок, везите и хороните!»","","","","","","","","","","","","","","",""
"","","","","","","","","","",""," — ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","text_link","рассказала","","","","","","","https://t.me/euroradio","","","","","","","",""
"","","","","","","","","","",""," мама Никиты Анжелика Кухто. \n\nСледствие также настаивает, что молодой человек закончил жизнь самоубийством.\n\nПохороны 28-летнего парня, который исчез 12 августа во время массовых протестов и чье тело нашли только 22 августа, состоятся завтра в Молодечно.","","","","","","","","","","","","","","","","",""
"","","","9412","message","2020-08-24T09:44:24","NEXTA Live","10003210496","","1440","1440","Работники «Городской клинической больницы скорой медицинской помощи» в Минске выстроились в цепь Солидарности.","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","32","","","","","","","","",""
"","","","9413","message","2020-08-24T10:36:05","NEXTA Live","10003210496","","","","‼️Немецкие медики заявили, что Алексей Навальный был отравлен веществом-ингибитором холинэстеразы, но конкретное вещество еще предстоит установить. Состояние политика серьёзное, но острой угрозы для жизни нет.","","","2020-08-24T10:43:49","","","","","","","","","","","","","",""
"","","","9414","message","2020-08-24T11:08:59","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","690","387","Лукашенко уволил Игоря Лещеню с должности посла Беларуси в Словакии. Ранее он стал первым дипломатом, поддержавшим протесты против фальсификаций выборов и милицейского произвола.","","","2020-08-24T11:26:13","","","","","","","","","","","","","",""
"","","","9415","message","2020-08-24T11:40:10","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","747","1200","Экономический журналист Сергей Савицкий ушел из СТВ. \nЖурналист написал в своем ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","text_link","Facebook","","","","","","","https://www.facebook.com/sergei.sav.5","","","","","","","",""
"","","","","","","","","","",""," ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","italic","«Ну вот и всё! Просто хочу остаться честным по отношению, в первую очередь, к самому себе...»","","","","","","","","","","","","","","",""
"","","","9416","message","2020-08-24T12:12:40","NEXTA Live","10003210496","","1280","720","Лукашистская пропаганда, направленная на разделение общества, даёт свои плоды — у впечатлительного электората начинает «вырывать кукушку» при виде БЧБ.\n\nВот, например, в Минске любительница лукашизма стриггеривается от вида национального флага и нападает на женщин. Которые, стоит полагать, вообще мимо проходили!\n\nОдна отрада, что лукашенковский электорат маргинализованный и неорганизованный. Но от этого не следует слишком расслабляться. Провокации (","","","2020-08-24T12:21:14","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","55","","","","","","","","",""
"","","","","","","","","","","","","italic","как спланированные, так и спонтанные","","","","","","","","","","","","","","",""
"","","","","","","","","","","",") будут изо дня в день только увеличиваться. ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","При виде неопрятных и одичалых людей будьте настороже, особенно если вы одни и на вас белорусская или протестная символика.","","","","","","","","","","","","","","",""
"","","","","","","","","","",""," ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","bold","Заряженные пропагандой лукашисты могут быть опасны!","","","","","","","","","","","","","","",""
"","","","9417","message","2020-08-24T12:13:10","NEXTA Live","10003210496","","1024","576","Женщины пришли с цветами к мемориалу Александра Тарайковского. Их начали прогонять люди в штатском. Завязался разговор и парни, видимо, не устояли от здравых аргументов представительниц прекрасного пола. На подмогу тихарям выслали ещё два сотрудника милиции. Люди пока были вынуждены разойтись.","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","60","","","","","","","","",""
"","","","9418","message","2020-08-24T12:15:38","NEXTA Live","10003210496","","720","1280","На площади Независимости каратели уже начали задерживать людей.  По сообщениям очевидцев, скорее всего это активисты ""Европейской Беларуси"".\n\nВидео: ","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","","","МАЯ КРАІНА БЕЛАРУСЬ","","","","","",""
"","","","","","","","","","","","","mention","@motolkohelp","","","","","","","","","","","","","","",""
